Numero,Titolo,Descrizione
1,Un piccolo grande detective ,(Ran e Shinichi al parco divertimenti)(Fanno la loro prima comparsa Gin e Vodka)
14,Dov'è papà ,(Banda di ladri Fa la sua prima comparsa Hakemi)
39,L'amico del cuore  ,(Conan si lamenta perché non trova indizi sugli uomini in nero) [Evento collegato a tre mesi prima](Goro si accorge di essere un babbeo)
56,Chi è il colpevole? ,(Appare Tequila)(Curioso come Goro entra in trans)
122,Il giallista scomparso parte 1 ,(Scompare uno scrittore)(Accenni uomini in nero)
123,Il giallista scomparso parte 2,
135,Rapina in banca ,(Hakemi muore)
136,La nuova studentessa parte 1 ,"(Fa la sua prima comparsa Sherry, chiamata Ai da Agasa, colei che ha creato L'APTX4869) [Riferimento all'episodio 16, Genta spera che il nuovo caso da risolvere non sia quello di un gatto scomparso"
137,La nuova studentessa parte 2,
138,La nuova studentessa parte 3,
139,La nuova studentessa parte 4,
140,Minaccia allo stadio parte 1 ,(Ai rivela di avere 18 anni) [è Capodanno]
141,Minaccia allo stadio parte 2,
148,L'ultimo spettacolo parte 1 ,(Delitto al cinema)(Ai accenna all'organizzazione) [è la giornata del cinema ovvero fine Maggio primi di Giugno]
172,Il primo caso di Shinichi parte 1 ,(Delitto in aereo Fotografie)
173,Il primo caso di Shinichi parte 2 ,(Ran e Shinichi si dirigono a NY come poi avverrà nell'episodio 308)
190,Incontro indesiderato parte 1 ,(Ai sogna di venire uccisa da Gin)
191,Incontro indesiderato parte 2 ,(Pisco e Vermouth compiono un delitto)(Ai beve del Baijiu per ritornare adulta)
192,Incontro indesiderato parte 3 ,"(Gin ferisce Sherry ed uccide Pisco)(Forse Ai non ha perso il disco con i dati dell'APXT, ha semplicemente mentito a Conan)"
203,In fuga nella caverna ,(Conan viene ferito per colpa dei giovani detective)
204,Il detective ferito ,(I bambini escono dalla caverna Ran crede fermamente che Conan è Shinichi)
205,Omicidio durante la recita ,(Ghiaccio nella bevanda)
206,Il cavaliere nero ,(Ran rimane sorpresa perché vede insieme Conan e Shinichi)
207,Il ritorno di Shinichi,
208,Omicidio guastafeste ,(Shinichi cerca di dire ciò che prova a Ran ma deve risolvere un caso così come fece suo padre tempo fa)
235,La leggenda di Furto Kid parte 1,
236,La leggenda di Furto Kid parte 2 ,(Renya Karasumaru)
237,La leggenda di Furto Kid parte 3,
238,La leggenda di Furto Kid parte 4,
241,L'isola della sirena parte 1 ,(Riferimento al padre di Ai che tempo fa si è recato sull'isola)
242,L'isola della sirena parte 2 ,"(Citazione di Shinichi ""Per quanto sia impossibile..."")"
243,L'isola della sirena parte 3,
245,Delitto in sala giochi parte 1 ,(Jodie compare per la prima volta)
246,Delitto in sala giochi parte 2,
249,Il dirottamento dell'autobus parte 1 ,"(Akai, Jodie, Haraide e Vermouth)"
250,Il dirottamento dell'autobus parte 2,
252,Prova indelebile parte 1 ,(Collare del cane dentro l'inceneritore)(Ai ricorda il dirottamento)
253,Prova indelebile parte 2,
261,Sulle tracce di Genta ,(Criminale minaccia Genta)(Ai ricorda a Conan che Gin è mancino)
272,Storia d'amore alla centrale di Polizia parte 1 ,(Il caso delle tre testimonianze divergenti)(Vermouth è Haraide)
273,Storia d'amore alla Centrale di Polizia parte 2 ,"(Akai, Shinichi e Takagi)"
277,L'uomo di ghiaccio parte 1 ,(James FBI Panda)
278,L'uomo di ghiaccio parte 2,
288,Il delitto di San Valentino parte 1 ,(Cioccolato in montagna e cani identici)(Cenni Akai) [Mancano 3 giorni a San Valentino]
289,Il delitto di San Valentino parte 2,
290,Il delitto di San Valentino parte 3 ,(Makoto) [è la mezzanotte del 14 Febbraio]
291,Ricordo dimenticato di un delitto parte 1 ,(La camera videoludica e l'orologio rubato)(Casi di Goro rubati da Vermouth) 
292,Ricordo dimenticato di un delitto parte 2 ,(Conan e Organizzazione)
293,Abbreviazioni frettolose parte 1 ,(Tizio assassinato sulle scale mobili Jodie)(Cenni Akai)
294,Abbreviazioni frettolose parte 2 ,(Vermouth scrive a Gin)
296,La verità sulla casa infestata dagli spettri parte 1 ,(Tizi vedono fantasmi)(Vermouth è Haraide)
297,La verità sulla casa infestata dagli spettri parte 2,
299,Insegnante d'inglese contro famoso detective parte 1 ,(Si indaga su Jodie e si fa riferimento a Pisco)
300,Insegnante d'inglese contro famoso detective parte 2,
301,Hooligan nel labirinto parte 1 ,(Vermouth e il passato con Sharon)
302,Hooligan nel labirinto parte 2 ,(Discorso tra Ai e Conan)
308,Shinichi a New York parte 1 ,(Sharon Chris Vermouth)
309,Shinichi a New York parte 2,
310,Shinichi a New York parte 3,
311,Mitsuhiko sparisce nel bosco parte 1 ,(Numabuki è un pesce piccolo dell'Organizzazione)
312,Mitsuhiko sparisce nel bosco parte 2 ,"(Ai non riesce più sentire chi fa parte dell'Organizzazione come prima ma non è vero, si tratta di un'impressione sbagliata che sente lei)"
332,I resti di una testimonianza silente parte 1 ,(Itacura)(Itacura litigava molto con Sharon) [poco dopo episodio 323 in teoria] 
333,I resti di una testimonianza silente parte 2,
334,Il diario parte 1,
335,Il diario parte 2,
336,Il diario parte 3,
337,Il festival delle bambole parte 1,(Passato di Ai e spiegazione APTX)
338,Il festival delle bambole parte 2,
354,Un'amicizia infranta parte 1 ,(Tizia si finge ricca per avere amici)(Conan e Agasa parlano del Diario di Itacura e della madre di Ai)
355,Un'amicizia infranta parte 2,
360,Nessun rumore parte 1 ,(Yukiko porta i giovani detective a vedere un film ma poi c'è un caso di omicidio)(Akai controlla Qualcuno pedina Ai probabilmente Vermouth)
361,Nessun rumore parte 2,
363,Le quattro Porsche parte 1 ,"(Ai sta male e Vermouth prepara il suo piano, Akai controlla a distanza)"
364,Le quattro Porsche parte 2 ,(Tizio viene strangolato nel parcheggio di un supermercato)
365,Il segreto nascosto nella toilette parte 1 ,(Alla ricerca delle cassette registrate dalla mamma di Ai)
366,Il segreto nascosto nella toilette parte 2,
369,Caccia al ladro parte 1 ,(Vermouth si traveste da Jodie)
370,Caccia al ladro parte 2 ,(Ran risolve il caso ed entra nel bagno di Jodie vedendo foto di Conan)
371,Misteri in una notte di luna piena parte 1 ,(La festa di Halloween organizzata da Vermouth) [è Estate]
372,Misteri in una notte di luna piena parte 2,
373,Misteri in una notte di luna piena parte 3,
374,Misteri in una notte di luna piena parte 4,
375,Misteri in una notte di luna piena parte 5,
376,Misteri in una notte di luna piena parte 6,
377,La chiave del mistero parte 1 ,(Si fa riferimento agli avvenimenti degli episodi precedenti)
378,La chiave del mistero parte 2 ,(Malvivente aggredisce Ayumi chiave impressa nella mano)
381,Il cellulare dimenticato parte 1 ,(Azusa trova un cellulare dimenticato e lo fa vedere a Goro)(Conan ricorda la suoneria del Boss)
393,Il fantasma del liceo Teitan parte 1 ,"(Riecco il vero Haraide, Ai dice di avere 28 anni ma in realtà ne ha 18)(Conan associa l'abilità nel travestimento di Vermouth a Ladro kid)"
394,Il fantasma del liceo Teitan parte 2 ,(Vermouth sembra buona di quanto è cattiva)
403,Strike! Battitore eliminato parte 1 ,(Campione di Baseball uccide un suo amico)(Reminiscenze numero di telefono del Boss)
406,Un codice da svelare parte 1 ,"(Conan pensa che l'ex campione di baseball Motoyama, il tizio che ha assassinato il suo amico nell'episodio 402, sia coinvolto con gli uomini in nero perché mentre chiama un suo amico sente la melodia prodotta dai tasti del  telefono che gli ricorda quella del cellulare di Vermouth ma in realtà non c'entra niente)"
407,Un codice da svelare parte 2 ,(Conan scopre che il prefisso del numero di telefono del Boss potrebbe appartenere alla provincia di Tottori)
420,La maledizione del violino parte 1 ,(Conan scopre il prefisso del numero di telefono del Boss)
422,La maledizione del violino parte 3 ,"(Conan scopre la melodia che produce il numero di telefono del Boss, è la canzone per bambini ""Piccolo corvo"")"
429,Il mistero delle lanterne di pietra parte 1 ,(Si indaga sulla melodia del numero di telefono del boss)
435,I dubbi di Ran ,(Ran trova il cellulare di Conan e si insospettisce)
460,La mano oscura degli uomini in nero parte 1,(forse 3 mesi dopo)]
461,La mano oscura degli uomini in nero parte 2,
462,La mano oscura degli uomini in nero parte 3,
463,La mano oscura degli uomini in nero parte 4,
464,La mano oscura degli uomini in nero parte 5,
466,Una misteriosa scomparsa parte 1 ,(Rumi Wakasa) )
468,Punto di non ritorno parte 1 ,(Ragazza trovata morta in un auto sulla neve)(Heisuke prima volta)
474,Intervista mancata parte 1 ,(La quasi intervista dei giovani detective)(Conan dice che Kir si trova all'ospedale)
486,Presenze in villa parte 2 ,(Conan sospetta di Heisuke)
503,L'ombra dell'organizzazione parte 1,
504,L'ombra dell'organizzazione parte 2,
505,L'ombra dell'organizzazione parte 3,
506,L'ombra dell'organizzazione parte 4 ,(I MIB discutono sul fatto che Kir si trova in ospedale)
507,Il pupazzo di neve indistruttibile ,"(Gruppo di studio dell'accademia delle belle arti fa un pupazzo di neve ma...)(Conan crede che Heisuke sia unu MIB, e parla dell'incontro con il bambino  che è stato quasi investito da Kir con Ai e Agasa Altri riferimenti all'eps 506)"
520,Delitti o allucinazioni parte 1 ,(C'è la fioritura dei ciliegi Monaco simile all'eps 53 vede una donna morta che poi scompare)(Conan  chiede a Heiji di indagare su Heisuke e su Kir)
528,Sulle tracce di una foto parte 1  ,(Padre di Heisuke)
529,Sulle tracce di una foto parte 2,
539,Frode sventata ,(Alla ricerca della sorella di Heisuke)
540,Mistero irrisolto ,(Il gruppo sanguigno)
541,Suicidio sospetto ,(Omicidio in villa)
542,Le ombre del passato ,(Si va in ospedale)
543,Nuovi sospetti ,(Si indaga sui M.I.B che si sono infiltrati)
544,I tre sospetti ,(Rikumichi Kusuda è il noc)(Il vecchietto sospetto)
545,Il risveglio ,(Renia si sveglia)
546,Caos all'ospedale ,(Le bombe nell'ospedale)
547,Il piano di riserva ,(Camel abile guidatore)
548,Il segreto di Reina ,(Ecco com'è morto il padre di Heisuke e Kir)
549,Omicidio in hotel ,(Il presidente di un'agenzia viene ucciso) [è venerdì 13]
550,Segreti e bugie ,(Kir chiama Akai per incontrarsi)(Il vecchietto sospetto)
551,L'assassino del Presidente ,(Svelato l'omicida del presidente grazie alla parola magica) [Flashback di tutte le volte che Ran ha incontrato Akai]
552,Una morte inattesa ,(La morte di Akai Le impronte vengono confermate con il cellulare di Conan)
556,Karaoke con sorpresa parte 2 ,(Heisuke e Shinichi)
557,"Il rosso, il bianco, il giallo ",(Nome in codice Bourbon) [è il 5 Luglio]
558,Il piromane ,(L'incendio nella casa di un bambino L'ispettore fuoco)(A Subaru si associa il colore rosso)
594,Il faraglione dell'unicorno parte 1 ,(I giovani detective fanno cose su un'isola in mezzo al mare)(Cambia la doppiatrice di Conan)(Subaru)
609,Una coppia pericolosa ,(Kensuke e Uehara sembrano due brutti ceffi)(Ai sospetta che Subaru sia un M.I.B)
611,Il muro dipinto di rosso parte 2 ,"(Fa la sua prima comparsa Komei un poliziotto che poi si scoprirà essere il fratello di Scotch ovvero un agente della polizia giapponese infiltrato nell'organizzazione che si è suicidato quando è stato scoperto da Akai. In realtà Akai non voleva che lui si suicidasse e quindi gli rivelò di essere anche lui un NOC  ma purtroppo si stava avvicinando una persona e per non rischiare di essere uccisi entrambi Scotch decise di suicidarsi. La persona che si stava avvicinando era Bourbon [Zero alias Amuro Toru] anche lui un poliziotto infiltrato che quando vide il corpo di Scotch e senti la motivazione che diede Akai dell'accaduto decise in cuor suo che non avrebbe mai perdonato Akai per quello che aveva fatto, infatti l'agente dell'FBI disse che era stato proprio lui ad ucciderlo)"
615,La rapina in banca parte 1 ,"(Jodie e Conan coinvolti in una rapina, fa la sua prima comparsa l'esca di Akai che in realtà è Bourbon travestito che indaga per capire se Akai è davvero morto) [Riferimento a Scontro tra Rosso e nero]"
616,La rapina in banca parte 2,
630,Il mistero delle magliette rosse parte 1 ,(Il nonno che voleva riscuotere l'assicurazione per salvare la nipotina)
631,Il mistero delle magliette rosse parte 2 ,(Goro viene incaricato di indagare su un crimine di 13 anni fa ma un dinamitardo provoca casini)(Bourbon si traveste ancora da Akai e va in giro a vedere che effetti provoca sugli agenti dell'FBI)
632,Il mistero delle magliette rosse parte 3 ,"(I M.I.B hanno avvistato Akai ovvero Bourbon travestito e chiamano Kir per capire se lui è veramente morto o no, non appena Chianti sta sparando Gin si accorge che in realtà quello è Bourbon travestito e dà l'ordine di ritirarsi. Inoltre Gin si lamenta di coloro che agiscono per i fatti propri senza avvisare nessuno e vorrebbe che sparissero, probabilmente si riferisce sia a Bourbon che a Vermouth)"
633,Il mistero delle magliette rosse parte 4,
668,Nella patria di Holmes parte 1 ,(La tennista Minerva Glass)
669,Nella patria di Holmes parte 2,
670,Nella patria di Holmes parte 3 ,(La dichiarazione di Shinichi)
671,Nella patria di Holmes parte 4,
672,Nella patria di Holmes parte 5,
673,Nella patria di Holmes parte 6,
698,Misteri nell'albergo stregato parte 1 ,(Fa la sua prima comparsa Masumi)
699,Misteri nell'albergo stregato parte 2 ,(Le deduzioni di Masumi vacillano e interviene Shinichi)
700,Assedio in agenzia parte 1  ,(Masumi vs Shinichi)
701,Assedio in agenzia parte 2 ,"(Un caso che somiglia moltissimo all'eps 557, facendo intendere che Masumi abbia qualcosa in comune con Akai)"
702,Assedio in agenzia parte 3 ,(Una scrittrice viene uccisa per rancore)
720,Vigilia delle nozze parte 1 ,(Mistero tra due coniugi)(Fa la su prima comparsa Amuro)
721,Vigilia delle nozze parte 2,
724,Notturno dei Detective  parte 1 ,(Amuro diventa l'assistente di Goro e insieme a lui indaga su un nuovo caso)
725,Notturno dei detective  parte 2 ,(Una donna si vendica con chi ha ucciso il suo fidanzato ma Conan la placa)
726,Notturno dei detective parte 3 ,(Bourbon sembra conoscere Masumi)(Subaru dice una frase particolare ad Ai)
727,Notturno dei detective parte 4 ,(Vermouth comunica con Bourbon)
728,Tra moglie e marito parte 1 ,(Ai si ricorda della frase che le ha detto Subaru e la associa a quella che diceva sempre Akai ad Hakemi o a lei stessa)
729,Tra moglie e marito parte 2 ,(Litigio tra moglie e marito ma poi tutto va per il meglio)
735,Il rapimento ,"(La crisi)(E' l'anniversario della morte di Wataru Date capo di Takagi e un suo caro amico, inoltre Date afferma implicitamente che Toru Amuro ossia Bourbon fa parte della polizia ed è un ottimo agente)"
737,"Schiuma, vapore e fumo parte 1  ","(Ai vuole investigare su Subaru e per farlo gli chiede di accompagnarla a sciare ma poi succede un incidente, durante il caso però riescono a rimanere da soli e Ai cerca di vedere cosa nasconde sotto il collo visto che Subaru lo tiene sempre coperto ma lui la intima di non avvicinarsi al suo territorio)"
738,"Schiuma, vapore e Fumo parte 2",
744,Il caso irrisolto di Yusaku Kudo parte 2 ,(Il rossetto nei bicchieri indica che Yukiko si trova nella casa di Shinichi perché si sta preparando al Mistery Train)
752,L'ombra sul segreto di Ai parte 1 ,(I giovani detective assistono ad un crimine e per scappare rimangono bloccati in una casa in fiamme così Ai è costretta a prendere l'antidoto all'APTX per salvare tutti)
753,L'ombra sul segreto di Ai parte 2 ,(Mitsuhiko spedisce una mail a Goro con il video di Sherry che li salva perché vuole ringraziarla ma Bourbon scopre il filmato e organizza un'imboscata al Mistery Train)
754,Viaggio sul Mystery Train Partenza ,(Si chiariscono i personaggi e il loro ruoli)
755,Viaggio sul Mystery Train Il tunnel ,(Vermouth si traveste da Akai e rapisce Masumi ma prima si fa dire se lui è veramente morto)
756,Viaggio sul Mystery Train L'incrocio ,(Subaru prevede le mosse di Sherry e le dice che è prevedibile come sua sorella Hakemi)
757,Viaggio sul Mystery Train Ultima fermata ,"(Dialogo tra Yukiko e Vermouth organizzato nei minimi dettagli, si fa riferimento all'ingegner Itacura e al suo software ma non viene chiarito lo scopo, Bourbon si presenta ufficialmente e quando incontra Sherry che in realtà è Ladro Kid travestito dice di aver conosciuto sua sorella e sua mamma detta anche Angelo nero probabilmente per via del suo sguardo. Alla fine Bourbon chiede a Vermouth di rivedere il filmato della morte di Akai perché gli sorge il dubbio che lui non sia morto veramente)(Sherry è ufficialmente morta per i M.I.B ma non per Vermouth)"
759,Conan nella stanza chiusa parte 2 ,"(Conan si stupisce che Bourbon abbia il coraggio di stare ancora con loro dopo quello che è successo sul Mistery Train, alla fine Bourbon parla con Vermouth)"
775,I fattorini del corriere Ghepardo parte 1 ,
776,I fattorini del corriere Ghepardo parte 2,(I giovani detective chiusi dentro un furgone vengono salvati da Toru)
